Energy	Zenith	C
15.0	0.0	664.4706883919696
15.015075376884422	0.0	683.7762741903488
15.030150753768844	0.0	703.6427660595746
15.045226130653266	0.0	724.0864606105654
15.06030150753769	0.0	745.1241279373082
15.075376884422111	0.0	766.7730253734741
15.090452261306533	0.0	789.0509116487196
15.105527638190955	0.0	811.9760614562877
15.120603015075377	0.0	835.5672804438549
15.135678391959798	0.0	859.8439206399256
15.150753768844222	0.0	884.825896328429
15.165829145728644	0.0	910.5337003845158
15.180904522613066	0.0	936.9884210850316
15.195979899497488	0.0	964.21175940733
15.21105527638191	0.0	992.226046830741
15.226130653266331	0.0	1021.0542636552246
15.241206030150753	0.0	1050.7200578522575
15.256281407035177	0.0	1081.2477644634207
15.271356783919598	0.0	1112.6624255625734
15.28643216080402	0.0	1144.9898107980523
15.301507537688442	0.0	1178.2564385316584
15.316582914572864	0.0	1212.4895975918628
15.331658291457286	0.0	1247.717369658979
15.346733668341708	0.0	1283.9686523007651
15.361809045226131	0.0	1321.2731826772851
15.376884422110553	0.0	1359.6615619344707
15.391959798994975	0.0	1399.165280306469
15.407035175879397	0.0	1439.8167429472646
15.422110552763819	0.0	1481.6492965128396
15.43718592964824	0.0	1524.697256515643
15.452261306532662	0.0	1568.9959354738523
15.467336683417086	0.0	1614.5816718784279
15.482412060301508	0.0	1661.4918600018088
15.49748743718593	0.0	1709.7649805727076
15.512562814070352	0.0	1759.4406323420742
15.527638190954773	0.0	1810.559564566211
15.542713567839195	0.0	1863.1637104336505
15.557788944723619	0.0	1917.2962214632196
15.57286432160804	0.0	1973.001502901506
15.587939698492463	0.0	2030.3252501487693
15.603015075376884	0.0	2089.31448624317
15.618090452261306	0.0	2150.017600434071
15.633165829145728	0.0	2212.4843878760485
15.64824120603015	0.0	2276.7660904761774
15.663316582914574	0.0	2342.9154389281084
15.678391959798995	0.0	2410.986695967344
15.693467336683417	0.0	2481.0357008834067
15.708542713567839	0.0	2553.1199153250705
15.72361809045226	0.0	2627.2984704365686
15.738693467336683	0.0	2703.6322153632423
15.753768844221106	0.0	2782.1837671664953
15.768844221105528	0.0	2863.0175621889275
15.78391959798995	0.0	2946.199908911948
15.798994974874372	0.0	3031.799042349004
15.814070351758794	0.0	3119.8851800191997
15.829145728643216	0.0	3210.5305795472254
15.844221105527637	0.0	3303.809597936682
15.859296482412061	0.0	3399.798752565667
15.874371859296483	0.0	3498.5767839544064
15.889447236180905	0.0	3600.2247203566917
15.904522613065327	0.0	3704.8259442278218
15.919597989949748	0.0	3812.46626062378
15.93467336683417	0.0	3923.233967587674
15.949748743718594	0.0	4037.219928581187
15.964824120603016	0.0	4154.51764702046
15.979899497487438	0.0	4275.2233429775415
15.99497487437186	0.0	4399.436032110339
16.01005025125628	0.0	4527.257606885786
16.025125628140703	0.0	4658.792920162902
16.040201005025125	0.0	4794.149871204257
16.055276381909547	0.0	4933.43949418643
16.07035175879397	0.0	5076.7760492820635
16.08542713567839	0.0	5224.27711638819
16.100502512562812	0.0	5376.063691577863
16.115577889447238	0.0	5532.260286353935
16.13065326633166	0.0	5692.995029786544
16.14572864321608	0.0	5858.399773618461
16.160804020100503	0.0	6028.610200423744
16.175879396984925	0.0	6203.765934909069
16.190954773869347	0.0	6384.01065844875
16.20603015075377	0.0	6569.492226947596
16.22110552763819	0.0	6760.362792127902
16.236180904522612	0.0	6956.778926340593
16.251256281407034	0.0	7158.901751002498
16.266331658291456	0.0	7366.897068765286
16.281407035175878	0.0	7580.935499524448
16.2964824120603	0.0	7801.192620379889
16.311557788944725	0.0	8027.8491096629905
16.326633165829147	0.0	8261.090895148069
16.34170854271357	0.0	8501.10930657032
16.35678391959799	0.0	8748.101232574709
16.371859296482413	0.0	9002.269282225006
16.386934673366834	0.0	9263.821951205326
16.402010050251256	0.0	9532.973792850453
16.417085427135678	0.0	9809.945594145336
16.4321608040201	0.0	10094.964556838071
16.44723618090452	0.0	10388.26448381494
16.462311557788944	0.0	10690.085970890397
16.477386934673365	0.0	11000.676604169517
16.492462311557787	0.0	11320.291163144224
16.507537688442213	0.0	11649.191829690797
16.522613065326635	0.0	11987.64840313894
16.537688442211056	0.0	12335.93852159046
16.55276381909548	0.0	12694.347889667222
16.5678391959799	0.0	13063.170512876568
16.582914572864322	0.0	13442.708938785872
16.597989949748744	0.0	13833.27450520448
16.613065326633166	0.0	14235.187595575773
16.628140703517587	0.0	14648.77790179
16.64321608040201	0.0	15074.384694632583
16.65829145728643	0.0	15512.35710209013
16.673366834170853	0.0	15963.054395742367
16.688442211055275	0.0	16426.846285474916
16.7035175879397	0.0	16904.113222754768
16.718592964824122	0.0	17395.246712716784
16.733668341708544	0.0	17900.649635318277
16.748743718592966	0.0	18420.73657582378
16.763819095477388	0.0	18955.934164892038
16.77889447236181	0.0	19506.68142854391
16.79396984924623	0.0	20073.43014829821
16.809045226130653	0.0	20656.645231771
16.824120603015075	0.0	21256.805094042295
16.839195979899497	0.0	21874.402050103028
16.85427135678392	0.0	22509.942718704096
16.86934673366834	0.0	23163.94843793937
16.884422110552762	0.0	23836.955692902095
16.899497487437188	0.0	24529.516555767663
16.91457286432161	0.0	25242.199138661053
16.92964824120603	0.0	25975.58805968405
16.944723618090453	0.0	26730.284922480456
16.959798994974875	0.0	27506.908809735487
16.974874371859297	0.0	28306.09679101373
16.98994974874372	0.0	29128.504445350747
17.00502512562814	0.0	29974.806399029203
17.020100502512562	0.0	30845.69687897902
17.035175879396984	0.0	31741.890282256198
17.050251256281406	0.0	32664.121762067316
17.065326633165828	0.0	33613.14783082042
17.08040201005025	0.0	34589.74698069701
17.095477386934675	0.0	35594.72032225433
17.110552763819094	0.0	36628.89224158079
17.12562814070352	0.0	37693.11107654675
17.14070351758794	0.0	38788.249812699476
17.155778894472363	0.0	39915.20679938044
17.170854271356784	0.0	41074.90648664629
17.185929648241206	0.0	42268.300183601335
17.201005025125628	0.0	43496.36683876251
17.21608040201005	0.0	44760.11384309712
17.231155778894472	0.0	46060.57785639197
17.246231155778894	0.0	47398.82565763275
17.261306532663315	0.0	48775.95502008863
17.276381909547737	0.0	50193.0956118234
17.29145728643216	0.0	51651.40992236933
17.30653266331658	0.0	53152.094216324724
17.321608040201006	0.0	54696.37951465798
17.33668341708543	0.0	56285.53260451992
17.35175879396985	0.0	57920.85707840106
17.366834170854272	0.0	59603.694403473724
17.381909547738694	0.0	61335.42502200758
17.396984924623116	0.0	63117.469483755034
17.412060301507537	0.0	64951.28961123734
17.42713567839196	0.0	66838.38969888701
17.44221105527638	0.0	68780.31774703019
17.457286432160803	0.0	70778.66673172129
17.472361809045225	0.0	72835.07591147142
17.487437185929647	0.0	74951.23217194277
17.50251256281407	0.0	77128.8714097114
17.517587939698494	0.0	79369.77995623619
17.532663316582916	0.0	81675.79604319368
17.547738693467338	0.0	84048.81131039634
17.56281407035176	0.0	86490.772357514
17.57788944723618	0.0	89003.68234088273
17.592964824120603	0.0	91589.60261670686
17.608040201005025	0.0	94250.65443200228
17.623115577889447	0.0	96989.02066467055
17.63819095477387	0.0	99806.94761412546
17.65326633165829	0.0	102706.74684394823
17.668341708542712	0.0	105690.79707807775
17.683417085427134	0.0	108761.54615209303
17.698492462311556	0.0	111921.5130211884
17.71356783919598	0.0	115173.28982648924
17.728643216080403	0.0	118519.54402140003
17.743718592964825	0.0	121963.02055973635
17.758793969849247	0.0	125506.54414742625
17.77386934673367	0.0	129153.02155963515
17.78894472361809	0.0	132905.44402521217
17.804020100502512	0.0	136766.88968041446
17.819095477386934	0.0	140740.52609392194
17.834170854271356	0.0	144829.61286521447
17.849246231155778	0.0	149037.50429844213
17.8643216080402	0.0	153367.65215398246
17.87939698492462	0.0	157823.60847994106
17.894472361809044	0.0	162409.02852592207
17.90954773869347	0.0	167127.6737414503
17.92462311557789	0.0	171983.41486150978
17.939698492462313	0.0	176980.23508173978
17.954773869346734	0.0	182122.23332587053
17.969849246231156	0.0	187413.62760809803
17.984924623115578	0.0	192858.75849314738
18.0	0.0	198462.09265686903
15.0	0.25125628140703515	635.7900949785458
15.015075376884422	0.25125628140703515	654.4206802651279
15.030150753768844	0.25125628140703515	673.597198416755
15.045226130653266	0.25125628140703515	693.3356469283314
15.06030150753769	0.25125628140703515	713.6524920700657
15.075376884422111	0.25125628140703515	734.5646826239937
15.090452261306533	0.25125628140703515	756.0896640230783
15.105527638190955	0.25125628140703515	778.2453929045741
15.120603015075377	0.25125628140703515	801.0503520898623
15.135678391959798	0.25125628140703515	824.5235660032693
15.150753768844222	0.25125628140703515	848.6846165426601
15.165829145728644	0.25125628140703515	873.5536594151187
15.180904522613066	0.25125628140703515	899.1514409513164
15.195979899497488	0.25125628140703515	925.499315412556
15.21105527638191	0.25125628140703515	952.6192628050186
15.226130653266331	0.25125628140703515	980.533907215964
15.241206030150753	0.25125628140703515	1009.2665356872936
15.256281407035177	0.25125628140703515	1038.841117642133
15.271356783919598	0.25125628140703515	1069.2823248806483
15.28643216080402	0.25125628140703515	1100.6155521618878
15.301507537688442	0.25125628140703515	1132.8669383886263
15.316582914572864	0.25125628140703515	1166.063388413076
15.331658291457286	0.25125628140703515	1200.2325954815249
15.346733668341708	0.25125628140703515	1235.4030643366673
15.361809045226131	0.25125628140703515	1271.6041349969548
15.376884422110553	0.25125628140703515	1308.8660072326816
15.391959798994975	0.25125628140703515	1347.2197657593474
15.407035175879397	0.25125628140703515	1386.6974061692624
15.422110552763819	0.25125628140703515	1427.331861622971
15.43718592964824	0.25125628140703515	1469.157030322896
15.452261306532662	0.25125628140703515	1512.2078037919855
15.467336683417086	0.25125628140703515	1556.5200959810174
15.482412060301508	0.25125628140703515	1602.1308732288633
15.49748743718593	0.25125628140703515	1649.0781851006525
15.512562814070352	0.25125628140703515	1697.401196129618
15.527638190954773	0.25125628140703515	1747.1402184890437
15.542713567839195	0.25125628140703515	1798.3367456215897
15.557788944723619	0.25125628140703515	1851.0334868541315
15.57286432160804	0.25125628140703515	1905.2744030268173
15.587939698492463	0.25125628140703515	1961.1047431662396
15.603015075376884	0.25125628140703515	2018.5710822332428
15.618090452261306	0.25125628140703515	2077.7213599767774
15.633165829145728	0.25125628140703515	2138.604920926413
15.64824120603015	0.25125628140703515	2201.2725555566167
15.663316582914574	0.25125628140703515	2265.7765426574124
15.678391959798995	0.25125628140703515	2332.170692946496
15.693467336683417	0.25125628140703515	2400.5103939594014
15.708542713567839	0.25125628140703515	2470.8526562550887
15.72361809045226	0.25125628140703515	2543.2561609754507
15.738693467336683	0.25125628140703515	2617.781308798445
15.753768844221106	0.25125628140703515	2694.490270325822
15.768844221105528	0.25125628140703515	2773.4470379471513
15.78391959798995	0.25125628140703515	2854.717479223889
15.798994974874372	0.25125628140703515	2938.369391837551
15.814070351758794	0.25125628140703515	3024.4725601480786
15.829145728643216	0.25125628140703515	3113.0988134096483
15.844221105527637	0.25125628140703515	3204.3220856922007
